Rotation_X,Rotation_Y,Rotation_Z,current_time,Score,State
-0.08293702,0.723902,-0.01293343,2025-01-24 14:25:38.010,16,16
-0.08051239,0.7220092,-0.008096494,2025-01-24 14:25:38.024,16,16
-0.07750054,0.7205544,-0.004310746,2025-01-24 14:25:38.037,16,16
-0.07454003,0.7179044,-0.001342587,2025-01-24 14:25:38.052,16,16
-0.06974468,0.7156225,0.001483202,2025-01-24 14:25:38.065,16,16
-0.06650926,0.7137311,0.004989672,2025-01-24 14:25:38.080,16,16
-0.06407564,0.7119113,0.009695338,2025-01-24 14:25:38.093,16,16
-0.06182434,0.710355,0.01293765,2025-01-24 14:25:38.107,16,16
-0.06101851,0.7089815,0.01557522,2025-01-24 14:25:38.122,16,16
-0.0596512,0.7076574,0.0185524,2025-01-24 14:25:38.136,16,16
-0.05748051,0.7073449,0.02288134,2025-01-24 14:25:38.149,16,16
-0.05567069,0.7064595,0.02599466,2025-01-24 14:25:38.166,16,16
-0.05269732,0.7055693,0.0296364,2025-01-24 14:25:38.177,16,16
-0.04959738,0.7048083,0.03272114,2025-01-24 14:25:38.191,16,16
-0.04514194,0.7037391,0.03532214,2025-01-24 14:25:38.203,16,16
-0.04274298,0.7030486,0.03823961,2025-01-24 14:25:38.218,16,16
-0.04074781,0.7029262,0.04079699,2025-01-24 14:25:38.231,16,16
-0.03812655,0.7026279,0.04391806,2025-01-24 14:25:38.246,16,16
-0.03644071,0.7020044,0.04684485,2025-01-24 14:25:38.259,16,16
-0.03422513,0.7011486,0.05023137,2025-01-24 14:25:38.274,16,16
-0.03115379,0.700307,0.05463303,2025-01-24 14:25:38.287,16,16
-0.02849799,0.6989657,0.05938541,2025-01-24 14:25:38.302,16,16
-0.02491406,0.6967137,0.06463495,2025-01-24 14:25:38.316,16,16
-0.02006871,0.6936423,0.07107987,2025-01-24 14:25:38.330,16,16
-0.01693155,0.6898177,0.07695211,2025-01-24 14:25:38.344,16,16
-0.01377389,0.6860076,0.08422972,2025-01-24 14:25:38.357,16,16
-0.01123081,0.6822173,0.09061532,2025-01-24 14:25:38.372,16,16
-0.00676899,0.6773584,0.09548394,2025-01-24 14:25:38.384,16,16
-0.003714923,0.67226,0.1001405,2025-01-24 14:25:38.399,16,16
0.001660209,0.6670758,0.105827,2025-01-24 14:25:38.413,16,16
0.00627232,0.6603338,0.1122915,2025-01-24 14:25:38.427,16,16
0.01021243,0.6541341,0.1167864,2025-01-24 14:25:38.441,16,16
0.01450507,0.6488503,0.1197662,2025-01-24 14:25:38.455,16,16
0.01818145,0.6442791,0.1215039,2025-01-24 14:25:38.468,16,16
0.01945053,0.6405628,0.1220495,2025-01-24 14:25:38.482,16,16
0.02176843,0.6377577,0.1214817,2025-01-24 14:25:38.496,16,16
0.02568049,0.6351596,0.1209605,2025-01-24 14:25:38.510,16,16
0.02897803,0.6324913,0.1211621,2025-01-24 14:25:38.524,16,16
0.03418923,0.6296108,0.1170769,2025-01-24 14:25:38.551,16,16
0.03557189,0.6278676,0.1174773,2025-01-24 14:25:38.565,16,16
0.03647228,0.6257466,0.1181795,2025-01-24 14:25:38.579,16,16
0.03767005,0.6237828,0.1176402,2025-01-24 14:25:38.593,16,16
0.03889448,0.6222009,0.117026,2025-01-24 14:25:38.607,16,16
0.04062239,0.6219959,0.1156677,2025-01-24 14:25:38.621,16,16
0.04202934,0.6207506,0.1148896,2025-01-24 14:25:38.634,16,16
0.04349563,0.6208615,0.1134696,2025-01-24 14:25:38.652,16,16
0.04544581,0.6207865,0.1129433,2025-01-24 14:25:38.662,16,16
0.04754878,0.6208602,0.1126735,2025-01-24 14:25:38.677,16,16
0.0512633,0.6214374,0.1137997,2025-01-24 14:25:38.704,16,16
0.05308965,0.6223515,0.1132862,2025-01-24 14:25:38.717,16,16
0.05405948,0.6238185,0.1124459,2025-01-24 14:25:38.732,16,16
0.05567815,0.6248146,0.1120531,2025-01-24 14:25:38.745,16,16
0.05727968,0.6259518,0.1117471,2025-01-24 14:25:38.759,16,16
0.05883484,0.6266569,0.1114695,2025-01-24 14:25:38.774,16,16
0.06059416,0.6272371,0.1111404,2025-01-24 14:25:38.787,16,16
0.06147965,0.6281446,0.1101557,2025-01-24 14:25:38.802,16,16
0.06277569,0.6291487,0.1096492,2025-01-24 14:25:38.816,16,16
0.06393886,0.6299465,0.109031,2025-01-24 14:25:38.829,16,16
0.06460124,0.6306551,0.1085589,2025-01-24 14:25:38.842,16,16
0.0658443,0.6310773,0.108099,2025-01-24 14:25:38.857,16,16
0.06731984,0.630857,0.1082942,2025-01-24 14:25:38.871,16,16
0.06847103,0.6306878,0.1079628,2025-01-24 14:25:38.885,16,16
0.06915121,0.6301895,0.1078472,2025-01-24 14:25:38.899,16,16
0.07002936,0.6296498,0.1076966,2025-01-24 14:25:38.913,16,16
0.07091858,0.6291856,0.1076005,2025-01-24 14:25:38.927,16,16
0.07144625,0.6286274,0.1072347,2025-01-24 14:25:38.941,16,16
0.07177166,0.6286429,0.1055625,2025-01-24 14:25:38.955,16,16
0.07250899,0.6289012,0.1039781,2025-01-24 14:25:38.969,16,16
